latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
58.52698,-113.89047,328.18,1.28,1.12,2023-06-01,0512,Terra,MODIS,100,6.1NRT,285.73,40.13,N
58.52901,-113.86878,316.89,1.29,1.13,2023-06-01,0512,Terra,MODIS,83,6.1NRT,283.81,23.52,N
58.52026,-113.85912,303.54,1.29,1.13,2023-06-01,0512,Terra,MODIS,42,6.1NRT,284.25,11.81,N
57.41985,-122.18211,307.47,1.06,1.03,2023-06-01,0512,Terra,MODIS,72,6.1NRT,278.25,12.68,N
57.56598,-121.28731,301.61,1.03,1.01,2023-06-01,0512,Terra,MODIS,43,6.1NRT,279.34,7.9,N
57.56858,-121.27091,313,1.03,1.01,2023-06-01,0512,Terra,MODIS,86,6.1NRT,281.21,15.95,N
57.5547,-121.29877,323.6,1.03,1.01,2023-06-01,0512,Terra,MODIS,100,6.1NRT,282.51,25.74,N
57.5573,-121.2824,320.63,1.03,1.01,2023-06-01,0512,Terra,MODIS,100,6.1NRT,283.15,22.34,N
57.40628,-121.91778,323.21,1.05,1.02,2023-06-01,0512,Terra,MODIS,100,6.1NRT,279.35,25.5,N
57.40904,-121.90118,309.37,1.05,1.02,2023-06-01,0512,Terra,MODIS,47,6.1NRT,277.41,12.48,N
58.43276,-113.91772,304.94,1.28,1.12,2023-06-01,0512,Terra,MODIS,38,6.1NRT,285.62,11.86,N
57.3971,-121.85777,316.18,1.05,1.02,2023-06-01,0512,Terra,MODIS,93,6.1NRT,280.39,18.69,N
58.42288,-113.91421,312.92,1.28,1.12,2023-06-01,0512,Terra,MODIS,85,6.1NRT,283.64,19.4,N
58.42389,-113.90894,322.37,1.28,1.12,2023-06-01,0512,Terra,MODIS,100,6.1NRT,285.11,31.46,N
57.39988,-121.67188,301.57,1.04,1.02,2023-06-01,0512,Terra,MODIS,24,6.1NRT,279.25,7.86,N
57.39115,-121.667,303.19,1.04,1.02,2023-06-01,0512,Terra,MODIS,42,6.1NRT,279.42,8.58,N
57.44966,-121.30559,314.08,1.03,1.01,2023-06-01,0512,Terra,MODIS,88,6.1NRT,278.02,17.19,N
57.44622,-121.26795,303.98,1.03,1.01,2023-06-01,0512,Terra,MODIS,58,6.1NRT,276.92,10.33,N
58.7093,-119.627,307.67,1,1,2023-06-01,0512,Terra,MODIS,72,6.1NRT,282.91,10.82,N
59.69421,-109.72355,315.83,1.9,1.35,2023-06-01,0512,Terra,MODIS,92,6.1NRT,281.58,43.36,N
59.70426,-109.75908,319.13,1.89,1.34,2023-06-01,0512,Terra,MODIS,98,6.1NRT,282.23,50.33,N
58.73593,-119.5694,311.54,1,1,2023-06-01,0512,Terra,MODIS,83,6.1NRT,284.49,13.94,N
58.74459,-119.57393,307.2,1,1,2023-06-01,0512,Terra,MODIS,71,6.1NRT,280.62,11.07,N
59.90748,-109.57804,304.28,1.93,1.36,2023-06-01,0512,Terra,MODIS,59,6.1NRT,282.48,23.13,N
55.51611,-108.01906,311.46,2,1.38,2023-06-01,0512,Terra,MODIS,75,6.1NRT,287.67,30.28,N
55.52063,-107.995,306.58,2.01,1.38,2023-06-01,0512,Terra,MODIS,47,6.1NRT,285.78,21.02,N
55.51885,-108.02659,315.52,2,1.38,2023-06-01,0512,Terra,MODIS,88,6.1NRT,287.66,39.88,N
55.54103,-108.2822,316.95,1.95,1.36,2023-06-01,0512,Terra,MODIS,92,6.1NRT,288.37,43.76,N
55.8597,-107.87941,336.45,2.05,1.39,2023-06-01,0512,Terra,MODIS,98,6.1NRT,279.97,99.48,N
55.85596,-107.9445,323.17,2.04,1.39,2023-06-01,0512,Terra,MODIS,30,6.1NRT,280.71,58.75,N
55.87213,-107.88167,343.44,2.05,1.39,2023-06-01,0512,Terra,MODIS,100,6.1NRT,281.88,132.79,N
55.87025,-107.91422,393.18,2.04,1.39,2023-06-01,0512,Terra,MODIS,100,6.1NRT,293.97,605.51,N
55.86835,-107.94679,325.85,2.04,1.39,2023-06-01,0512,Terra,MODIS,47,6.1NRT,285.01,66.39,N
55.87404,-107.88862,352.32,2.05,1.39,2023-06-01,0512,Terra,MODIS,100,6.1NRT,284.01,181.63,N
55.87229,-107.9212,378.01,2.04,1.39,2023-06-01,0512,Terra,MODIS,100,6.1NRT,292.4,408.29,N
58.38021,-113.93794,328.86,1.27,1.12,2023-06-01,0512,Terra,MODIS,100,6.1NRT,284.38,41.6,N
58.38227,-113.91652,350.84,1.28,1.12,2023-06-01,0512,Terra,MODIS,100,6.1NRT,285.82,95.19,N
57.37098,-121.67369,320.76,1.04,1.02,2023-06-01,0512,Terra,MODIS,50,6.1NRT,280.49,21.25,N
57.40055,-121.4925,303.71,1.04,1.02,2023-06-01,0512,Terra,MODIS,47,6.1NRT,279.38,9.31,N
56.36183,-106.87482,360.37,2.3,1.47,2023-06-01,0512,Terra,MODIS,100,6.1NRT,289.73,295.5,N
56.46421,-107.15278,333.94,2.24,1.45,2023-06-01,0512,Terra,MODIS,88,6.1NRT,285.91,98.8,N
56.46236,-107.18907,330.14,2.23,1.45,2023-06-01,0512,Terra,MODIS,61,6.1NRT,281.59,86.17,N
56.42119,-107.9496,311.97,2.07,1.4,2023-06-01,0512,Terra,MODIS,77,6.1NRT,286.85,35.33,N
56.47902,-107.11853,355.98,2.25,1.45,2023-06-01,0512,Terra,MODIS,100,6.1NRT,289.49,240.86,N
56.47532,-107.19067,354.01,2.23,1.45,2023-06-01,0512,Terra,MODIS,100,6.1NRT,284.17,221.05,N
56.47346,-107.22655,321.7,2.23,1.45,2023-06-01,0512,Terra,MODIS,0,6.1NRT,282.59,56.41,N
56.46248,-107.15947,338.11,2.24,1.45,2023-06-01,0512,Terra,MODIS,93,6.1NRT,285.73,119.16,N
56.4608,-107.19546,321.47,2.23,1.45,2023-06-01,0512,Terra,MODIS,0,6.1NRT,281.33,52.68,N
57.40321,-121.4761,328.33,1.04,1.02,2023-06-01,0512,Terra,MODIS,100,6.1NRT,281.92,32.26,N
58.37034,-113.93445,358.87,1.27,1.12,2023-06-01,0512,Terra,MODIS,100,6.1NRT,288.71,120.95,N
58.37239,-113.91302,346.08,1.28,1.12,2023-06-01,0512,Terra,MODIS,100,6.1NRT,286.04,81.51,N
57.36224,-121.66885,319.14,1.04,1.02,2023-06-01,0512,Terra,MODIS,85,6.1NRT,280.73,20.39,N
57.39183,-121.48769,325.01,1.04,1.02,2023-06-01,0512,Terra,MODIS,100,6.1NRT,281.08,26.68,N
57.3945,-121.47126,313.41,1.04,1.02,2023-06-01,0512,Terra,MODIS,57,6.1NRT,280.94,15.47,N
57.37242,-121.54848,308.16,1.04,1.02,2023-06-01,0512,Terra,MODIS,55,6.1NRT,281.1,11.79,N
58.34856,-113.94881,346.87,1.27,1.12,2023-06-01,0512,Terra,MODIS,100,6.1NRT,284.73,82.18,N
58.3506,-113.92742,315.04,1.27,1.12,2023-06-01,0512,Terra,MODIS,73,6.1NRT,281.33,22.17,N
57.3744,-121.47799,300.28,1.04,1.02,2023-06-01,0512,Terra,MODIS,9,6.1NRT,279.15,7.11,N
57.31408,-121.61728,339.36,1.04,1.02,2023-06-01,0512,Terra,MODIS,100,6.1NRT,280.98,48.46,N
57.31678,-121.60076,402.6,1.04,1.02,2023-06-01,0512,Terra,MODIS,100,6.1NRT,289.39,288.8,N
57.31946,-121.58427,320.9,1.04,1.02,2023-06-01,0512,Terra,MODIS,100,6.1NRT,282.35,23.13,N
57.30534,-121.61242,315.15,1.04,1.02,2023-06-01,0512,Terra,MODIS,91,6.1NRT,280.86,17.48,N
57.30804,-121.59589,350.62,1.04,1.02,2023-06-01,0512,Terra,MODIS,100,6.1NRT,285.61,70.89,N
57.31276,-121.50857,311.01,1.04,1.02,2023-06-01,0512,Terra,MODIS,58,6.1NRT,281.61,13.59,N
57.31543,-121.49212,346.72,1.04,1.02,2023-06-01,0512,Terra,MODIS,100,6.1NRT,283.35,62.21,N
57.31809,-121.47573,308.21,1.04,1.02,2023-06-01,0512,Terra,MODIS,74,6.1NRT,280.63,12.42,N
56.48494,-107.23557,308.51,2.23,1.45,2023-06-01,0512,Terra,MODIS,28,6.1NRT,284.67,26.93,N
